,machineId,number of GPUs
0,m0,8
1,m1,8
2,m100,8
3,m102,8
4,m105,8
5,m109,8
6,m11,8
7,m110,8
8,m111,8
9,m112,8
10,m113,8
11,m114,8
12,m115,8
13,m116,8
14,m117,8
15,m120,8
16,m121,8
17,m123,8
18,m125,8
19,m126,8
20,m127,8
21,m128,8
22,m129,8
23,m13,8
24,m131,8
25,m133,8
26,m134,8
27,m138,8
28,m139,8
29,m14,8
30,m140,8
31,m141,8
32,m143,8
33,m146,8
34,m147,8
35,m148,8
36,m149,8
37,m15,8
38,m150,8
39,m155,8
40,m156,8
41,m158,8
42,m159,8
43,m16,8
44,m161,8
45,m162,8
46,m164,8
47,m165,8
48,m168,8
49,m169,8
50,m17,8
51,m171,8
52,m172,8
53,m175,8
54,m179,8
55,m182,8
56,m184,8
57,m185,8
58,m186,8
59,m19,8
60,m190,8
61,m191,8
62,m192,8
63,m193,8
64,m194,8
65,m196,8
66,m197,8
67,m199,8
68,m201,8
69,m204,8
70,m207,8
71,m208,8
72,m21,8
73,m210,8
74,m211,8
75,m212,8
76,m215,8
77,m216,8
78,m217,8
79,m22,8
80,m221,8
81,m222,8
82,m223,8
83,m227,8
84,m23,8
85,m230,8
86,m231,8
87,m232,8
88,m233,8
89,m234,8
90,m235,8
91,m236,8
92,m237,8
93,m242,8
94,m243,8
95,m245,8
96,m246,8
97,m25,8
98,m250,8
99,m252,8
100,m253,8
101,m254,8
102,m256,8
103,m258,8
104,m259,8
105,m260,8
106,m263,8
107,m265,8
108,m267,8
109,m268,8
110,m270,8
111,m271,8
112,m273,8
113,m274,8
114,m275,8
115,m277,8
116,m278,8
117,m280,8
118,m281,8
119,m283,8
120,m284,8
121,m287,8
122,m288,8
123,m289,8
124,m29,8
125,m290,8
126,m293,8
127,m294,8
128,m296,8
129,m297,8
130,m298,8
131,m30,8
132,m300,8
133,m305,8
134,m307,8
135,m309,8
136,m310,8
137,m313,8
138,m314,8
139,m315,8
140,m317,8
141,m319,8
142,m320,8
143,m321,8
144,m322,8
145,m323,8
146,m324,8
147,m325,8
148,m327,8
149,m33,8
150,m330,8
151,m331,8
152,m335,8
153,m339,8
154,m341,8
155,m343,8
156,m346,8
157,m347,8
158,m348,8
159,m349,8
160,m35,8
161,m350,8
162,m352,8
163,m354,8
164,m356,8
165,m357,8
166,m36,8
167,m360,8
168,m362,8
169,m364,8
170,m368,8
171,m369,8
172,m373,8
173,m375,8
174,m376,8
175,m38,8
176,m380,8
177,m381,8
178,m382,8
179,m384,8
180,m385,8
181,m386,8
182,m388,8
183,m39,8
184,m390,8
185,m391,8
186,m392,8
187,m393,8
188,m394,8
189,m395,8
190,m397,8
191,m399,8
192,m40,8
193,m400,8
194,m402,8
195,m404,8
196,m406,8
197,m407,8
198,m409,8
199,m41,8
200,m412,8
201,m413,8
202,m415,8
203,m416,8
204,m418,8
205,m419,8
206,m42,8
207,m420,4
208,m421,4
209,m422,4
210,m424,4
211,m425,4
212,m426,4
213,m427,3
214,m428,4
215,m429,4
216,m430,4
217,m433,4
218,m434,4
219,m438,4
220,m440,4
221,m441,4
222,m442,4
223,m444,4
224,m446,4
225,m447,4
226,m448,4
227,m449,4
228,m451,4
229,m455,4
230,m457,4
231,m458,4
232,m46,8
233,m461,4
234,m462,4
235,m463,4
236,m465,4
237,m466,4
238,m467,4
239,m468,4
240,m47,8
241,m471,4
242,m473,4
243,m474,4
244,m476,4
245,m477,4
246,m478,4
247,m480,4
248,m481,4
249,m482,4
250,m483,4
251,m485,4
252,m486,4
253,m487,4
254,m488,4
255,m489,4
256,m49,8
257,m491,4
258,m492,4
259,m493,4
260,m496,4
261,m497,4
262,m498,4
263,m499,4
264,m50,8
265,m500,4
266,m502,4
267,m504,4
268,m507,4
269,m508,4
270,m509,4
271,m51,8
272,m510,4
273,m511,4
274,m512,4
275,m514,4
276,m515,4
277,m517,4
278,m518,4
279,m52,8
280,m520,4
281,m521,4
282,m522,4
283,m523,4
284,m526,4
285,m527,4
286,m528,4
287,m529,4
288,m53,8
289,m532,4
290,m534,4
291,m535,4
292,m54,8
293,m542,4
294,m544,4
295,m545,4
296,m549,4
297,m55,8
298,m551,4
299,m56,8
300,m57,8
301,m58,8
302,m59,8
303,m6,8
304,m63,8
305,m64,8
306,m65,8
307,m67,8
308,m69,8
309,m7,8
310,m77,8
311,m81,8
312,m82,8
313,m86,8
314,m87,8
315,m88,8
316,m9,8
317,m91,8
318,m92,8
